,Name,Mileage,Rating,Reviews Count,Dealer Name,Price
0,2015 Audi A6 2.0T Premium Plus,"68,672 mi.",4.6,(39 reviews),Platinum Motor Cars,"$24,990"
1,2018 Audi Q7 3.0T Premium Plus,"28,579 mi.",3.9,(268 reviews),Audi Brooklyn,"$43,990"
2,2021 Audi e-tron Premium,"3,818 mi.",5.0,"(1,091 reviews)",Audi Lakeland,"$67,998"
3,2016 Audi A6 3.0T Premium Plus,"52,001 mi.",4.6,(584 reviews),Toyota of Gastonia,"$28,699"
4,2021 Audi RS Q8 4.0T quattro,"4,169 mi.",4.7,"(1,109 reviews)",BMW of Freeport,"$149,943"
5,2019 Audi Q8 3.0T Premium,"29,213 mi.",4.9,(591 reviews),Novak Motors,"$67,574"
6,2018 Audi S6 4.0T Premium Plus,"14,701 mi.",4.6,(39 reviews),DARCARS Lexus of Greenwich,"$56,372"
7,2016 Audi Q5 2.0T Premium Plus,"49,798 mi.",4.2,(307 reviews),NYC Motor Cars,"$22,980"
8,2014 Audi Q5 2.0T Premium Plus,"64,307 mi.",4.4,(6 reviews),Platinum Motors,"$21,474"
9,2018 Audi Q7 3.0T Premium Plus,"60,126 mi.",3.9,(268 reviews),Audi Brooklyn,"$41,777"
10,2018 Audi A3 2.0T Premium,"13,956 mi.",4.9,(48 reviews),EchoPark Automotive Las Vegas,"$30,339"
11,2021 Audi e-tron Premium,"16,313 mi.",5.0,"(1,091 reviews)",Audi Lakeland,"$65,498"
12,2018 Audi Q5 2.0T Premium,"21,143 mi.",4.6,(774 reviews),Audi Grapevine,"$37,000"
13,2011 Audi R8 4.2 quattro Spyder,"27,565 mi.",5.0,(2 reviews),European Exotic Center,"$89,995"
14,2019 Audi Q8 3.0T Premium,"12,451 mi.",4.4,(83 reviews),Perillo Downers Grove,"$75,929"
15,2018 Audi RS 3 2.5T,"32,483 mi.",4.4,(63 reviews),Kelly Motorcars,"$65,977"
16,2011 Audi R8 5.2 quattro Spyder,"53,376 mi.",4.1,(297 reviews),Leesburg Auto Import,"$92,987"
17,2018 Audi Q5 2.0T Tech Premium,"18,267 mi.",4.6,(546 reviews),AutoNation Toyota Spokane Valley,"$39,676"
18,2021 Audi Q8 55 Premium,"10,950 mi.",4.8,"(4,547 reviews)",Motor Werks - Barrington Auto Mall,"$84,991"
19,2015 Audi A6 2.0T Premium Plus,"68,672 mi.",4.6,(39 reviews),Platinum Motor Cars,"$24,990"
20,2018 Audi Q7 3.0T Premium Plus,"28,579 mi.",3.9,(268 reviews),Audi Brooklyn,"$43,990"
21,2021 Audi e-tron Premium,"3,818 mi.",5.0,"(1,091 reviews)",Audi Lakeland,"$67,998"
22,2016 Audi A6 3.0T Premium Plus,"52,001 mi.",4.6,(584 reviews),Toyota of Gastonia,"$28,699"
23,2021 Audi RS Q8 4.0T quattro,"4,169 mi.",4.7,"(1,109 reviews)",BMW of Freeport,"$149,943"
24,2019 Audi Q8 3.0T Premium,"29,213 mi.",4.9,(591 reviews),Novak Motors,"$67,574"
25,2018 Audi S6 4.0T Premium Plus,"14,701 mi.",4.6,(39 reviews),DARCARS Lexus of Greenwich,"$56,372"
26,2016 Audi Q5 2.0T Premium Plus,"49,798 mi.",4.2,(307 reviews),NYC Motor Cars,"$22,980"
27,2014 Audi Q5 2.0T Premium Plus,"64,307 mi.",4.4,(6 reviews),Platinum Motors,"$21,474"
28,2018 Audi Q7 3.0T Premium Plus,"60,126 mi.",3.9,(268 reviews),Audi Brooklyn,"$41,777"
29,2018 Audi A3 2.0T Premium,"13,956 mi.",4.9,(48 reviews),EchoPark Automotive Las Vegas,"$30,339"
30,2021 Audi e-tron Premium,"16,313 mi.",5.0,"(1,091 reviews)",Audi Lakeland,"$65,498"
31,2018 Audi Q5 2.0T Premium,"21,143 mi.",4.6,(774 reviews),Audi Grapevine,"$37,000"
32,2011 Audi R8 4.2 quattro Spyder,"27,565 mi.",5.0,(2 reviews),European Exotic Center,"$89,995"
33,2019 Audi Q8 3.0T Premium,"12,451 mi.",4.4,(83 reviews),Perillo Downers Grove,"$75,929"
34,2018 Audi RS 3 2.5T,"32,483 mi.",4.4,(63 reviews),Kelly Motorcars,"$65,977"
35,2011 Audi R8 5.2 quattro Spyder,"53,376 mi.",4.1,(297 reviews),Leesburg Auto Import,"$92,987"
36,2018 Audi Q5 2.0T Tech Premium,"18,267 mi.",4.6,(546 reviews),AutoNation Toyota Spokane Valley,"$39,676"
37,2021 Audi Q8 55 Premium,"10,950 mi.",4.8,"(4,547 reviews)",Motor Werks - Barrington Auto Mall,"$84,991"
38,2015 Audi A6 2.0T Premium Plus,"68,672 mi.",4.6,(39 reviews),Platinum Motor Cars,"$24,990"
39,2018 Audi Q7 3.0T Premium Plus,"28,579 mi.",3.9,(268 reviews),Audi Brooklyn,"$43,990"
40,2021 Audi e-tron Premium,"3,818 mi.",5.0,"(1,091 reviews)",Audi Lakeland,"$67,998"
41,2016 Audi A6 3.0T Premium Plus,"52,001 mi.",4.6,(584 reviews),Toyota of Gastonia,"$28,699"
42,2021 Audi RS Q8 4.0T quattro,"4,169 mi.",4.7,"(1,109 reviews)",BMW of Freeport,"$149,943"
43,2019 Audi Q8 3.0T Premium,"29,213 mi.",4.9,(591 reviews),Novak Motors,"$67,574"
44,2018 Audi S6 4.0T Premium Plus,"14,701 mi.",4.6,(39 reviews),DARCARS Lexus of Greenwich,"$56,372"
45,2016 Audi Q5 2.0T Premium Plus,"49,798 mi.",4.2,(307 reviews),NYC Motor Cars,"$22,980"
46,2014 Audi Q5 2.0T Premium Plus,"64,307 mi.",4.4,(6 reviews),Platinum Motors,"$21,474"
47,2018 Audi Q7 3.0T Premium Plus,"60,126 mi.",3.9,(268 reviews),Audi Brooklyn,"$41,777"
48,2018 Audi A3 2.0T Premium,"13,956 mi.",4.9,(48 reviews),EchoPark Automotive Las Vegas,"$30,339"
49,2021 Audi e-tron Premium,"16,313 mi.",5.0,"(1,091 reviews)",Audi Lakeland,"$65,498"
50,2018 Audi Q5 2.0T Premium,"21,143 mi.",4.6,(774 reviews),Audi Grapevine,"$37,000"
51,2011 Audi R8 4.2 quattro Spyder,"27,565 mi.",5.0,(2 reviews),European Exotic Center,"$89,995"
52,2019 Audi Q8 3.0T Premium,"12,451 mi.",4.4,(83 reviews),Perillo Downers Grove,"$75,929"
