,Name,Mileage,Rating,Reviews Count,Dealer Name,Price
0,2021 BMW M3 Competition,"12,058 mi.",3.6,(57 reviews),Power Motors East,"$88,990"
1,2016 BMW X1 xDrive 28i,"58,922 mi.",3.7,(428 reviews),Frisco Chrysler Dodge Jeep Ram,"$23,776"
2,2018 BMW X3 xDrive30i,"21,309 mi.",4.8,(532 reviews),Elite Auto Brokers,"$37,900"
3,2018 BMW 430 Gran Coupe i xDrive,"47,240 mi.",4.6,"(2,717 reviews)",Schaumburg Honda Automobiles,"$30,900"
4,2019 BMW X5 xDrive40i,"20,396 mi.",4.8,"(1,957 reviews)",BMW of Bridgeport,"$66,996"
5,2018 BMW X5 sDrive35i,"40,926 mi.",4.5,(108 reviews),MINI North Scottsdale,"$39,997"
6,2020 BMW M340 i xDrive,"31,773 mi.",4.7,"(1,300 reviews)",Automotive Avenues,"$51,995"
7,2020 BMW X7 xDrive40i,"15,016 mi.",4.3,(139 reviews),Ultimo Motors East,"$79,900"
8,2018 BMW X6 xDrive35i,"19,372 mi.",4.8,"(6,010 reviews)",Rallye BMW,"$54,988"
9,2020 BMW M340 i xDrive,"31,006 mi.",4.9,"(2,365 reviews)",Circle BMW,"$53,988"
10,2016 BMW X1 xDrive 28i,"48,324 mi.",4.7,(194 reviews),Godspeed Motors,"$24,995"
11,2014 BMW X3 xDrive28i,"82,377 mi.",4.6,(398 reviews),Faulkner INFINITI of Willow Grove,"$16,999"
12,2020 BMW X3 sDrive30i,"16,848 mi.",4.6,(905 reviews),BMW of Houston North,"$43,291"
13,2018 BMW 530 i,"28,455 mi.",4.4,"(1,520 reviews)",Stevens Creek BMW,"$38,998"
14,2017 BMW 320 i,"49,245 mi.",4.7,"(7,070 reviews)",BMW of Sarasota,"$22,992"
15,2021 BMW X3 sDrive30i,"11,418 mi.",4.2,(822 reviews),BMW of Buena Park,"$43,777"
16,2019 BMW 750 i xDrive,"37,334 mi.",4.4,(572 reviews),Volkswagen of West Islip,"$63,998"
17,2012 BMW 650 i,"47,846 mi.",4.1,(97 reviews),Capitol Chevrolet,"$26,989"
18,2019 BMW M4 Base,"39,583 mi.",4.4,(724 reviews),BMW of Alexandria,"$61,990"
19,2019 BMW 530 i,"42,480 mi.",4.8,(171 reviews),Alfa Romeo Maserati Stuart,"$36,500"
