,Unnamed: 0,Name,Mileage,Rating,Reviews Count,Dealer Name,Price
0,0,2015 Audi A6 2.0T Premium Plus,68672 ,4.6,39 ,Platinum Motor Cars,24990
1,1,2018 Audi Q7 3.0T Premium Plus,28579 ,3.9,268 ,Audi Brooklyn,43990
2,2,2021 Audi e-tron Premium,3818 ,5.0,"1,091 ",Audi Lakeland,67998
3,3,2016 Audi A6 3.0T Premium Plus,52001 ,4.6,584 ,Toyota of Gastonia,28699
4,4,2021 Audi RS Q8 4.0T quattro,4169 ,4.7,"1,109 ",BMW of Freeport,149943
5,5,2019 Audi Q8 3.0T Premium,29213 ,4.9,591 ,Novak Motors,67574
6,6,2018 Audi S6 4.0T Premium Plus,14701 ,4.6,39 ,DARCARS Lexus of Greenwich,56372
7,7,2016 Audi Q5 2.0T Premium Plus,49798 ,4.2,307 ,NYC Motor Cars,22980
8,8,2014 Audi Q5 2.0T Premium Plus,64307 ,4.4,6 ,Platinum Motors,21474
9,9,2018 Audi Q7 3.0T Premium Plus,60126 ,3.9,268 ,Audi Brooklyn,41777
10,10,2018 Audi A3 2.0T Premium,13956 ,4.9,48 ,EchoPark Automotive Las Vegas,30339
11,11,2021 Audi e-tron Premium,16313 ,5.0,"1,091 ",Audi Lakeland,65498
12,12,2018 Audi Q5 2.0T Premium,21143 ,4.6,774 ,Audi Grapevine,37000
13,13,2011 Audi R8 4.2 quattro Spyder,27565 ,5.0,2 ,European Exotic Center,89995
14,14,2019 Audi Q8 3.0T Premium,12451 ,4.4,83 ,Perillo Downers Grove,75929
15,15,2018 Audi RS 3 2.5T,32483 ,4.4,63 ,Kelly Motorcars,65977
16,16,2011 Audi R8 5.2 quattro Spyder,53376 ,4.1,297 ,Leesburg Auto Import,92987
17,17,2018 Audi Q5 2.0T Tech Premium,18267 ,4.6,546 ,AutoNation Toyota Spokane Valley,39676
18,18,2021 Audi Q8 55 Premium,10950 ,4.8,"4,547 ",Motor Werks - Barrington Auto Mall,84991
19,19,2015 Audi A6 2.0T Premium Plus,68672 ,4.6,39 ,Platinum Motor Cars,24990
20,20,2018 Audi Q7 3.0T Premium Plus,28579 ,3.9,268 ,Audi Brooklyn,43990
21,21,2021 Audi e-tron Premium,3818 ,5.0,"1,091 ",Audi Lakeland,67998
22,22,2016 Audi A6 3.0T Premium Plus,52001 ,4.6,584 ,Toyota of Gastonia,28699
23,23,2021 Audi RS Q8 4.0T quattro,4169 ,4.7,"1,109 ",BMW of Freeport,149943
24,24,2019 Audi Q8 3.0T Premium,29213 ,4.9,591 ,Novak Motors,67574
25,25,2018 Audi S6 4.0T Premium Plus,14701 ,4.6,39 ,DARCARS Lexus of Greenwich,56372
26,26,2016 Audi Q5 2.0T Premium Plus,49798 ,4.2,307 ,NYC Motor Cars,22980
