,Movie Title,Year,Duration,Genre,Rating
0,The Nightmare Before Christmas,1993,76 min,"Animation, Family, Fantasy            ",8.0
1,Los Locos Addams,1991,99 min,"Comedy, Fantasy            ",6.9
2,Blade Runner 2049,2017,164 min,"Action, Drama, Mystery            ",8.0
3,Harry Potter and the Sorcerer's Stone,2001,152 min,"Adventure, Family, Fantasy            ",7.6
4,Interstellar,2014,169 min,"Adventure, Drama, Sci-Fi            ",8.6
5,Knives Out,2019,130 min,"Comedy, Crime, Drama            ",7.9
6,Six Degrees of Separation,1993,112 min,"Comedy, Drama, Mystery            ",6.8
7,Los Locos Addams II,1993,94 min,"Comedy, Fantasy            ",6.8
8,Joker,2019,122 min,"Crime, Drama, Thriller            ",8.4
9,Once Upon a Time... in Hollywood,2019,161 min,"Comedy, Drama            ",7.6
10,The Shawshank Redemption,1994,142 min,Drama            ,9.3
11,Promising Young Woman,2020,113 min,"Crime, Drama, Mystery            ",7.5
12,Tenet,2020,150 min,"Action, Sci-Fi, Thriller            ",7.4
13,Drácula,1992,128 min,"Fantasy, Horror            ",7.4
14,Coco,I 2017,105 min,"Animation, Adventure, Comedy            ",8.4
15,Avengers: Endgame,2019,181 min,"Action, Adventure, Drama            ",8.4
16,Spectre,I 2015,148 min,"Action, Adventure, Thriller            ",6.8
17,Llámame por tu nombre,2017,132 min,"Drama, Romance            ",7.9
18,Gisaengchung,2019,132 min,"Comedy, Drama, Thriller            ",8.6
19,The Wolf of Wall Street,2013,180 min,"Biography, Comedy, Crime            ",8.2
20,Intriga,2013,153 min,"Crime, Drama, Mystery            ",8.1
21,Batman 2 - El caballero de la noche,2008,152 min,"Action, Crime, Drama            ",9.0
22,Matrix,1999,136 min,"Action, Sci-Fi            ",8.7
23,Titanic,1997,194 min,"Drama, Romance            ",7.8
24,Pulp Fiction,1994,154 min,"Crime, Drama            ",8.9
25,1917,2019,119 min,"Action, Drama, War            ",8.3
26,The Lord of the Rings: The Fellowship of the Ring,2001,178 min,"Action, Adventure, Drama            ",8.8
27,Fight Club,1999,139 min,Drama            ,8.8
28,Arrival,II 2016,116 min,"Drama, Sci-Fi            ",7.9
29,Sleepy Hollow,1999,105 min,"Fantasy, Horror, Mystery            ",7.3
30,Mujercitas,2019,135 min,"Drama, Romance            ",7.8
31,Corpse Bride,2005,77 min,"Animation, Drama, Family            ",7.3
32,Get Out,I 2017,104 min,"Horror, Mystery, Thriller            ",7.7
